ten,Gia,Tinh_trang,Kich_thuoc_man_hinh,Cong_nghe_man_hinh,Camera_truoc,Camera_sau,Chipset,Cong_nghe_NFC,Dung_luong_ram,Bo_nho_trong,Dung_luong_pin,The_SIM,Do_phan_giai_man_hinh,Tinh_nang_man_hinh,Loai_CPU,loai_san_pham
Xiaomi Redmi Note 13 12GB 256GB,,,6.67 inches,AMOLED,16MP,Chính 108MP & Phụ 8+2MP,Snapdragon 685,Không,12 GB,256 GB,5000 mAh,không có thông tin,1080 x 2388 pixels,Tần số quét 120Hz,không có thông tin,Điện thoại
Honor X5 Plus,,,6.56 inches,TFT LCD,"5 MP, f/2.2","Camera chính: 50 MP, f/1.8
Camera đo độ sâu: f/2.4",MediaTek Helio G36,không có thông tin,4 GB,64 GB,5200 mAh,2 SIM (Nano-SIM),720 x 1612 (HD+),"Tần số quét 90Hz
16.7 triệu màu",không có thông tin,Điện thoại
Xiaomi Redmi Note 12R Pro,,,6.67 inches,AMOLED,"Camera góc rộng: 8 MP, f/2.0, 1/4"", 1.12µm","Camera góc rộng: 48 MP, 0.8µm, PDAF
Camera đo độ sâu: 2 MP, f/2.4",Snapdragon 4 Gen 1,Không,12 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),Tần số quét 120Hz,không có thông tin,Điện thoại
OPPO Find X6 Pro,,,6.7 inches,AMOLED,32 MP.,50 MP + 13 MP + 50 MP + 3 MP,Snapdragon 898,Có,12 GB,256 GB,4.500 mAh.,không có thông tin,không có thông tin,Tần số quét 120 Hz,không có thông tin,Điện thoại
OPPO Reno12 F 5G 12GB-256GB,,,6.7 inches,OLED,32MP,"50MP + OIS
Camera góc rộng: 8MP
Camera xóa phông: 2MP",Dimensity 6300 6nm,Có,12 GB,256 GB,5000 mAh,không có thông tin,không có thông tin,Tần số quét 120Hz,không có thông tin,Điện thoại
Huawei Nova 12 Pro,,,6.78 inches,OLED,"Camera chân dung: 8 MP, f/2.2, 52mm, AF
Camera góc siêu rộng: 60 MP, f/2.4, 17mm, 100˚, AF","Camera góc rộng: 50 MP, f/1.9, PDAF, Laser AF
Camera Tele: 50 MP, PDAF, optical zoom
Camera góc siêu rộng: 12 MP, AF",Kirin 9000S (7 nm),không có thông tin,8 GB,256 GB,4900 mAh,2 SIM (Nano-SIM),2652 x 1200 pixels,"1,07 tỷ màu, HDR10, tốc độ làm mới 120Hz
Kính Kunlun 2",không có thông tin,Điện thoại
Vivo V27 Pro,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Không,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Oppo K3,,,6.5 inches,AMOLED,16 MP,Chính 16 MP & Phụ 2 MP,Snapdragon 710 8 nhân 64-bit,Không,6 GB,64 GB,Pin chuẩn Li-Po 3765 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
OPPO A2x,,,6.56 inches,IPS LCD,"5 MP, ƒ/2.2","Camera chính: 13 MP: ƒ/2.2, hỗ trợ lấy nét tự động AF, sử dụng động cơ lấy nét vòng hở",MediaTek Dimensity 6020 8 nhân,Không,6 GB,128 GB,"5,000 mAh",2 SIM (Nano-SIM),720 x 1612 (HD+),"16,7 triệu màu, hỗ trợ gam màu rộng (P3), Độ sáng tối đa 720 nits
Tần số quét 90Hz",không có thông tin,Điện thoại
Huawei Pura 70,,,6.6 inches,OLED,8MP,"Camera chính: 50MP
Ống kính khẩu độ thay đổi f/1.4 - 4.0
Camera góc siêu rộng: 13MP
Camera tele: 12MP",không có thông tin,Có,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
realme 13 5G,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Google Pixel 2 XL,,,6.0 inches,OLED,"Camera góc rộng: 8MP, f/2.4, 25mm, 1 / 3.2 "", 1.4µm","Camera góc rộng: 12,2MP, f/1.8, 27mm, 1 / 2.55"", 1.4µm, PDAF pixel kép, Laser AF, OIS",Qualcomm MSM8998 Snapdragon 835 (10 nm),không có thông tin,4 GB,64 GB,3520 mAh,Nano-SIM + eSIM,1440 x 2880 pixels,"Kính cường lực Corning Gorilla Glass 5
Màn hình luôn bật",không có thông tin,Điện thoại
Xiaomi Redmi Note 12 Pro+,,,6.66 inches,OLED,"Camera góc rộng: 16MP, 1 / 3.06 "", 1.0µm","Camera góc rộng: 200MP, f/1.7, 24mm, 1 / 1.4 "", 0.56µm, PDAF, OIS
Camera góc siêu rộng: 8MP, f/1.9, 119˚, 1/4"", 1.12µm
Camera Macro: 2MP, f/2.4",Mật độ MediaTek 1080 (6 nm),không có thông tin,8 GB,256 GB,5.000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120 Hz, 1B màu Dolby Vision, HDR10 +, 500 nits (typ), 900 nits (HBM)",không có thông tin,Điện thoại
Leitz Phone 2,,,6.6 inches,OLED,"12.6MP, f/2.3","47.2MP, f/1.9",Snapdragon®2 8 Gen 1,không có thông tin,12 GB,512 GB,"5,000 mAh",không có thông tin,không có thông tin,Tốc độ làm mới 240Hz,không có thông tin,Điện thoại
Nubia Focus 5G 8GB 256GB,,,6.6 inches,PLS LCD,không có thông tin,"108 MP, f/1.8",Unisoc T760 (6 nm),Có,8 GB,256 GB,5000mAh,không có thông tin,720 x 1612 (HD+),không có thông tin,không có thông tin,Điện thoại
Honor Magic V2,,,không có thông tin,OLED,16 MP,Camera chính 50 MP + góc siêu rộng 50 MP + tele 20 MP,Snapdragon 8 Gen 2,không có thông tin,16 GB,256 GB,5.000 mAh,không có thông tin,không có thông tin,"Màn hình chính: 7.92 inch
Màn hình phụ rộng: 6.43 inch, tần số quét 120 Hz.",không có thông tin,Điện thoại
OnePlus 9 Pro,,,6.7 inches,Fluid AMOLED,"16 MP, f/2.4","Camera chính: 48 MP, f/1.8
Camera tele: 8 MP, f/2.4
Camera góc siêu rộng: 50 MP, f/2.2
Camera đơn sắc: 2 MP, f/2.4",Snapdragon 888 5G (5 nm),Có,12 GB,256 GB,Li-Po 4500 mAh,2 SIM (Nano-SIM),1440 x 3216 pixels (QHD+),"Tần số quét 120Hz, HDR10+, độ sáng màn hình 1300 nits",không có thông tin,Điện thoại
Blackview N6000,,,6.4 inches,không có thông tin,không có thông tin,"Camera chính 48MP
Cảm biến 16MP",MediaTek Helio G99,Có,8 GB,256 GB,"3,880 mAh",không có thông tin,"540 x 1,200 pixels",450 nits,không có thông tin,Điện thoại
Xiaomi 14T 12GB 256GB,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,12 GB,256 GB,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Samsung Galaxy C55,,,6.7 inches,Super AMOLED,"50 MP, f/2.4","Camera chính: 50 MP, f/1.8
Camera góc siêu rộng; 8 MP, f/2
Camera tele; 2 MP, f/2.4",Snapdragon 7 Gen 1,Có,8 GB,128 GB,5.000 mAh,không có thông tin,không có thông tin,"Tần số quét 120Hz, 1000 nits",không có thông tin,Điện thoại
Xiaomi 14 Ultra 8GB 256GB,,,6.73 inches,LTPO AMOLED,"Camera góc rộng: 32 MP, f/2.0, 22mm","Camera góc rộng: 50 MP, PDAF, Laser AF, OIS
Camera tele: 50 MP, f/3.0, 120mm
Camera góc siêu rộng: 50 MP, f/1.8
Camera tiềm vọng: 50 MP, f/3.0",Qualcomm Snapdragon 8 Gen 3 (4 nm),không có thông tin,8 GB,256 GB,5300 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"Tần số quét 120Hz, 1 tỷ màu, Dolby Vision, 2600 nits (tối đa)
Tỷ lệ 20:9
Corning Gorilla Glass Victus 2",không có thông tin,Điện thoại
Lenovo Legion Y70,,,6.66 inches,OLED,16 MP,"Camera góc rộng: 50 MP, 1 / 1.55 "", 1.0µm, PDAF, OIS
Camera góc siêu rộng: 13 MP, 120˚, 1.12µm, AF
Camera góc sâu: 2 MP, f/2.4",Qualcomm SM8475 Snapdragon 8+ thế hệ 1 (4 nm),không có thông tin,8 GB,128 GB,5100 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"144Hz, HDR10 +, 1000 nits",không có thông tin,Điện thoại
Google Pixel 4a,,,5.8 inches,OLED,"Camera góc rộng: 8MP, f/2.0, 24mm, 1.12µm","Camera góc rộng: 12,2MP, f/1,7, 27mm, 1 / 2,55"", 1,4µm, PDAF pixel kép, OIS",Qualcomm SDM730 Snapdragon 730G (8 nm),không có thông tin,6 GB,128 GB,3140 mAh,Nano-SIM + eSIM,1080 x 2340 pixels (FullHD+),"Kính cường lực Corning Gorilla Glass 3
Màn hình luôn bật",không có thông tin,Điện thoại
Vivo V26 Pro,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
OnePlus Ace 3 Pro,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Có,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Google Pixel 2,,,5.0 inches,AMOLED,"Camera góc rộng: 8MP, f/2.4, 27mm, 1 / 3.2 "", 1.4µm","Camera góc rộng: 12,2MP, f/1.8, 27mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, Laser AF, OIS",Qualcomm MSM8998 Snapdragon 835 (10 nm),không có thông tin,4 GB,64 GB,2700 mAh,Nano-SIM + eSIM,1080 x 1920 pixels (FullHD),"Kính cường lực Corning Gorilla Glass 5
Màn hình luôn bật",không có thông tin,Điện thoại
Xiaomi Redmi K40 Pro+,,,6.66 inches,Super AMOLED,20 MP,108MP + 8MP + 5MP,Snapdragon 888 (5 nm),không có thông tin,12 GB,256 GB,Li-Po 4520 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, HDR10+, độ sáng tối đa 1300 nits",không có thông tin,Điện thoại
Google Pixel 3 XL,,,6.3 inches,OLED,"Camera góc rộng: 8MP, f/1.8, 28 mm, PDAF
Camera góc: 8 MP, f/2.2, 19 mm (siêu rộng), không có AF","Camera góc rộng: 12,2MP, f/1.8, 28mm, 1 / 2.55 "", 1.4µm, PDAF pixel kép, OIS",Qualcomm SDM845 Snapdragon 845 (10 nm),không có thông tin,4 GB,64 GB,3430 mAh,Nano-SIM + eSIM,1440 x 2960 pixels (QHD+),"Kính cường lực Corning Gorilla Glass 5
Màn hình luôn bật",không có thông tin,Điện thoại
Vivo Y30 5G,,,6.51 inches,IPS LCD,"8 MP, f/2.0","Camera chính: 50MP, f/1.8
2MP, f / 2.4",Media Tek Dimensity 700 5G,Không,6 GB,128 GB,5.000 mAh,2 SIM (Nano-SIM),1600 x 720 pixels (HD+),không có thông tin,không có thông tin,Điện thoại
OPPO A1 Pro,,,6.7 inches,AMOLED,Camera góc rộng: 16 MP,"Camera góc rộng: 108 MP, PDAF
Camera độ sâu: 2 MP, f/2.4",Qualcomm SM6375 Snapdragon 695 5G (6nm),Có,6 GB,128 GB,"5,000 mAh",2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),Tần số quét 120Hz,không có thông tin,Điện thoại
Redmi K60 Ultra,,,6.7 inches,OLED,32 MP,"Camera góc rộng: 108 MP
Camera góc siêu rộng: 8 MP
Camera macro: 8 MP",Snapdragon 8 Gen 1,Có,8 GB,128 GB,4.700 mAh,không có thông tin,1984 x 2272 pixels,Tần số quét 120 Hz,không có thông tin,Điện thoại
ZenFone 10,,,6.3 inches,AMOLED,16 MP,200 MP hỗ trợ OIS,Snapdragon 8 Gen 2,Có,16 GB,256 GB,5.000 mAh,không có thông tin,không có thông tin,Tốc độ làm mới 120 Hz,không có thông tin,Điện thoại
OPPO A56,,,6.5 inches,IPS LCD,"Camera góc rộng: 8MP, f/2.0","Camera góc rộng: 13MP, f/2.2, 25mm, 1/3.06"", 1.12µm, PDAF
Camera đo độ sâu: 2MP, f/2.4",Mediatek MT6833 Dimensity 700 (7 nm),không có thông tin,4 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"Độ sáng 480 nits
Kính cường lực Corning Gorilla Glass 3",không có thông tin,Điện thoại
Vivo X Fold Plus,,,8.3 inches,AMOLED,16MP,"Camera chính 50MP
Camera tele: 12MP với zoom quang học 2x
Camera siêu rộng: 48MP
Camera kính tiềm vọng: 8MP.",Snapdragon 8+ Gen 1,không có thông tin,12 GB,256 GB,4.730 mAh,không có thông tin,không có thông tin,120Hz,không có thông tin,Điện thoại
Nokia 150,,,2.4 inches,không có thông tin,không có thông tin,VGA Camera,không có thông tin,không có thông tin,4MB,4MB,"1.020 mAh
Tháo ráp",Mini-SIM,không có thông tin,Độ phân giải:QVGA,không có thông tin,Điện thoại
vivo Y22,,,6.44 inches,IPS LCD,8 MP,không có thông tin,không có thông tin,Không,4 GB,64 GB,5.000 mAh,không có thông tin,720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
Vivo X Fold 3,,,không có thông tin,LTPO AMOLED,"Camera bên ngoài: 16 MP
Camera bên trong: 16 MP",50 MP + 12 MP + 12 MP,Snapdragon 8 Gen 3,Có,16 GB,256 GB,4.900 mAh,không có thông tin,không có thông tin,"Màn hình trong: Kích thước 8.13 inch, độ phân giải 2K+, tần số quét 120 Hz, tấm nền LTPO4 AMOLED
Kích thước 6.58 inch, độ phân giải 2K+, tần số quét 120 Hz, tấm nền AMOLED, tỉ lệ 21:9",không có thông tin,Điện thoại
OPPO Find X 7,,,không có thông tin,không có thông tin,không có thông tin,50MP,Snapdragon 8 Gen 3,Có,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Infinix Note 40 5G,,,6.78 inches,AMOLED,32MP,"Camera chính 108MP hỗ trợ OIS
Camera độ sâu 2MP
Ống kính macro 2MP",MediaTek Dimensity 7020,Có,12 GB,512 GB,5000 mAh,không có thông tin,không có thông tin,"1,300 nits và tốc độ làm mới 120Hz",không có thông tin,Điện thoại
Honor X8A,,,6.7 inches,IPS LCD,"16 MP, ƒ/2.5","Camera góc rộng: 100.0 MP, f/1.9
Camera góc siêu rộng: 5.0 MP, ƒ/2.2
Camera Macro: 2.0 MP, ƒ/2.4",MediaTek Helio G88,không có thông tin,8 GB,128 GB,4500 mAh,2 SIM (Nano-SIM),1080 x 2376 pixels (FullHD+),"Tần số quét 90 Hz, 393 ppi,16.7 triệu màu",không có thông tin,Điện thoại
Google Pixel 5a,,,không có thông tin,OLED,"Camera góc rộng: 8MP, f/2.0, 24mm, 1.12µm","Camera góc rộng: 12,2MP, f/1,7, 27mm, 1 / 2,55"", 1,4µm, PDAF pixel kép, OIS
Camera góc cực rộng: 16 MP, f/2.2, 119˚, 1,0µm",Qualcomm SM7250 Snapdragon 765G 5G (7 nm),không có thông tin,6 GB,128 GB,4680 mAh,Nano-SIM + eSIM,1080 x 2400 pixels (FullHD+),"Kính cường lực Corning Gorilla Glass 3
Màn hình luôn bật",không có thông tin,Điện thoại
Huawei Pocket S,,,6.9 inches,OLED,"Camera góc siêu rộng: 10,7MP, f/2.2","Camera góc rộng: 40MP, f/1.8, PDAF, Laser AF
Camera góc siêu rộng: 13MP, f/2.2, 120˚, AF",Qualcomm SM7325 Snapdragon 778G 4G (6 nm),không có thông tin,8 GB,128 GB,4000 mAh,2 SIM (Nano-SIM),không có thông tin,"Màn hình chính: OLED có thể gập lại, 1.07 tỉ màu, Tần số quét 120Hz, FHD+, 2790 × 1188 pixels
Màn hình phụ: 1.04 inches, 16.7 triệu màu,120 Hz",không có thông tin,Điện thoại
OPPO A2 Pro,,,6.7 inches,AMOLED,"8 MP, ƒ/2.0","Camera chính: 64 MP, ƒ/1.7, hỗ trợ lấy nét tự động AF
Camera chân dung: 2 MP, ƒ/2.4",MediaTek Dimensity 7050,Có,8 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),2412 x 1080 pixels,"1,07 tỷ màu, hỗ trợ gam màu rộng (P3), 950 nits, tốc độ làm mới 120Hz",không có thông tin,Điện thoại
Motorola Edge 40,,,6.55 inches,OLED,"Camera góc rộng: 32MP, f/2.4, 0.7µm","Camera góc rộng: 50MP, f/1.4, 1/1.55"", 1.0µm
Camera góc siêu rộng:13MP, f/2.2, 120˚, 1.12µm, AF
Camera đo độ sâu: 2MP, f/2.4",Mediatek Dimensity 8020 (5 nm),không có thông tin,8 GB,128 GB,4400 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 144Hz, HDR10+, 1200 nits",không có thông tin,Điện thoại
Nokia 130,,,1.8 inches,không có thông tin,không có thông tin,VGA Camera,không có thông tin,không có thông tin,4MB,8MB,1020 mAh,Mini-SIM,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Vivo V29,,,6.7 inches,OLED,50 MP,64 MP,Snapdragon 778G Plus,Có,12 GB,256 GB,"5,000 mAh",không có thông tin,không có thông tin,Tốc độ làm mới 120Hz,không có thông tin,Điện thoại
Nubia Red Magic 6S (16GB - 256GB),,,6.8 inches,AMOLED,"8 MP, f/2.0","Camera chính: 64 MP, f/1.8, PDAF
Camera góc siêu rộng: 8 MP, f/2.0
Camera cận cảnh: 2 MP",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),không có thông tin,16 GB,256 GB,Li-Po 5050 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Oppo F17 Pro,,,6.4 inches,"Super AMOLED, 16 triệu màu, Corning Gorilla Glass 3+, độ sáng 430 nits","16 MP, f/2.4, (wide), 1/3"", 1.0µm","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (depth)
2 MP, f/2.4, (depth)",Mediatek Helio P95 (12 nm),Không,8 GB,128 GB,"Li-Po 4015 mAh, sạc nhanh 30W, VOOC 4.0",2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
Huawei P50 Pocket S,,,không có thông tin,không có thông tin,không có thông tin,,Snapdragon 778G,Có,không có thông tin,256 GB,không có thông tin,không có thông tin,không có thông tin,Tần số quét 120 Hz,không có thông tin,Điện thoại
OPPO Reno9 Pro Plus,,,6.7 inches,AMOLED,"32 MP, f/2.4","Camera góc rộng: 50MP, f/1.8
Camera góc siêu rộng: 8 MP, f/2.2
Camera tele: 2 MP, f/2.4",MediaTek Dimensity 9000.,Có,12 GB,128 GB,4500 mAh,không có thông tin,không có thông tin,tần số quét 120 Hz,không có thông tin,Điện thoại
Honor Magic 2,,,6.39 inches,"AMOLED, cảm ứng điện dung, 16 triệu màu","3 Camera (16 MP, f/2.0 + 2 MP, f/2.4 + 2 MP, f/2.4)","3 Camera (16 MP, f/1.8, PDAF + 16 MP, f/2.2 + 24 MP B/W, f/1.8)",HiSilicon Kirin 980 (7 nm),Có,không có thông tin,128 GB,Li-Po 3500 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),không có thông tin,không có thông tin,Điện thoại
TCL 505,,,6.75 inches,không có thông tin,"5MP, f/2.2, 1.12μm, FF","Camera chính: 50MP, f/1.8, PDAF
Camera độ sâu: 2MP, f/2.4, FF, 1.75μm",Mediatek Helio G88 (12nm),Có,4GB + Mở rộng 4GB,128 GB,5010 mAh,2 SIM (Nano-SIM),1600 x 720 pixels (HD+),"260PPI, Độ tương phản 1500: 1, Gam màu NTSC 70%, 400 nits, Hạn chế ánh sáng xanh
90Hz",4xA53@ 2.2GHz+4xA53@ 1.6GHz,Điện thoại
ViVo iQOO 10 Pro,,,6.78 inches,AMOLED,"Camera góc rộng: 16 MP, f/2.5","Camera góc rộng: 50 MP, f/1.9, PDAF
Camera tele: 14.6 MP, f/2.2, zoom quang 3x
Camera góc siêu rộng: 50 MP, f / 2.3, 150˚",Snapdragon 8+ Gen 1 (4 nm),không có thông tin,8 GB,256 GB,Li-Po 4700 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"1 tỉ màu, 120Hz, HDR10+, 500 nits (typ)",không có thông tin,Điện thoại
Honor X6,,,6.5 inches,TFT LCD,"Camera góc rộng: 5 MP, f/2.0","Camera góc rộng: 50 MP, f/1.8, PDAF
Camera macro: 2 MP, f/2.4
Camera độ sâu: 2 MP, f/2.4",Mediatek,Có,4 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
Huawei Nova 10,,,6.66 inches,OLED,"Camera góc siêu rộng: 60 MP, f/2.4, 100˚","Camera góc rộng: 50 MP, f/1.9, 27mm, PDAF
Camera siêu rộng: 8 MP, f/2.2, 112˚
Camera góc sâu: 2 MP, f/2.4",Qualcomm SM7325 Snapdragon 778G 4G (6 nm),không có thông tin,8 GB,128 GB,4000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"OLED, 1B màu, 120Hz, HDR10",không có thông tin,Điện thoại
Realme V20 5G,,,6.5 inches,không có thông tin,"5 MP, f/2.0.",Camera chính: 13 MP,MediaTek Dimensity 700,không có thông tin,4 GB,128 GB,5.000 mAh,không có thông tin,720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
Xiaomi Civi 1S,,,6.55 inches,OLED,"Camera góc rộng: 32MP, 24mm, 0,8µm, AF","Camera góc rộng: 64MP, f/1.8, 26mm, 1 / 1.97 "", 0,7µm, PDAF
Camera siêu rộng: 8MP, f/2.2, 120˚, 1 / 4.0"", 1,12µm
Camera macro: 2MP, f/2.4",Qualcomm Snapdragon ™ 778G Plus,Có,8 GB,128 GB,4500 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Kính cường lực Corning Gorilla Glass 5
B màu, Dolby Vision, HDR10 +, 120Hz, 950 nits (đỉnh)",không có thông tin,Điện thoại
Vivo Y97,,,6.3 inches,không có thông tin,16 MP,Camera chính 16 MP & Phụ 2 MP,MediaTek Helio P60 8 nhân,không có thông tin,4 GB,128 GB,3240 mAh,2 SIM (Nano-SIM),1080 x 2280 pixels (FullHD+),Mặt kính cong 2.5D,không có thông tin,Điện thoại
Xiaomi Redmi Note 12T Pro,,,6.6 inches,IPS LCD,16 MP,"Camera góc rộng: 64 MP, f/1.8, 23mm, 1/2"", 0.7µm, PDAF
Camera góc siêu rộng: 8 MP, 120˚
Camera macro: 2 MP",Mediatek Dimensity 8200 Ultra (4 nm),không có thông tin,8 GB,128 GB,5080 mAh,2 SIM (Nano-SIM),1080x2460 pixels,"Tốc độ làm mới 144 Hz, 1 tỷ màu, HDR10, Dolby Vision, 650 nits",không có thông tin,Điện thoại
Samsung Galaxy M16 5G,,,6.5 inches,không có thông tin,"8 MP, f/2.0, (wide)","48 MP & Phụ 5 MP, 2 MP, 2 MP",Exynos 2100,Không,6 GB,128 GB,7000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,Mặt kính cong 2.5D,8 nhân 2.0 GHz,Điện thoại
Lenovo Xiaoxin Pad Pro 2022,,,11.2 inches,OLED,không có thông tin,13 MP,MediaTek Kompanio 1300T (6 nm),Không,8 GB,128 GB,8.200 mAh,không có thông tin,1536 x 2560 pixels,"120 Hz, 600 nits, HDR10+, Dolby Vision, độ phân giải 2.5K",không có thông tin,Điện thoại
OnePlus Nord N30,,,6.72 inches,IPS LCD,"Camera góc rộng: 16 MP, f/2.4, 1.0µm","Camera góc rộng: 108 MP, f/1.8, 1/1.67"", 0.64µm, PDAF
Camera macro: 2 MP, f/2.4
Camera đo đậu sâu: 2 MP, f/2.4",Snapdragon 695 5G (6 nm),Có,8 GB,128 GB,5.000 mAh,Nano-SIM,1080 x 2400 pixels (FullHD+),"Tốc độ làm mới 120 Hz, 550 nits, Corning Gorilla Glass",không có thông tin,Điện thoại
realme GT6 Pro,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Có,8 GB,256 GB,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
realme GT6,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Có,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Xiaomi 14T 12GB 512GB,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,12 GB,512 GB,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Nubia Z40S Pro,,,6.66 inches,AMOLED,"Camera góc rộng: 16 MP, f/2.5","Camera chính: 64MP, f/1.6, 35 mm, 1/1.7"", PDAF, OIS
Camera tele: 8 MP, f/3.4, 125 mm, 1/4.0"", PDAF, OIS, zoom quang 5x
Camera góc siêu rộng: 50MP, f/ 2.2, 14mm, 116˚, AF",Snapdragon 8+ Gen 1 (4 nm),Có,8 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"1 tỷ màu, tần số quét 144Hz, HDR10+, 1000 nits",không có thông tin,Điện thoại
realme 12 Pro,,,6.7 inches,IPS LCD,32 MP,108 MP + 13 MP + 2 MP,Snapdragon 7+ Gen 2,Có,16 GB,128 GB,5.000 mAh,không có thông tin,không có thông tin,Tần số quét 144 Hz,không có thông tin,Điện thoại
Nubia Redmagic 8s Pro 16GB 512GB Transparent,,,6.8 inches,AMOLED,"16MP, 1.12μm","50MP, f/1.88, 82°
8MP, f/2.2, 120°
2MP, f/2.4, 78°",Snapdragon 8 Gen 2,không có thông tin,16 GB,512 GB,6000 mAh,2 SIM (Nano-SIM),1116 x 2480 pixels,"Tần số quét 120Hz, 1300 nits
Corning® Gorilla® Glass
Tỷ lệ khung hình: 20:9",không có thông tin,Điện thoại
Infinix Zero 5G,,,6.78 inches,IPS LCD,16 MP,"Camera chính: 50MP
Camera đo độ sâu: 2M
Camera micro: 2M",MediaTek Dimensity 1080 5G,Không,8 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1080x2460 pixels,"Tần số quét 120Hz, 500 nits",không có thông tin,Điện thoại
Xiaomi Mi MIX Fold 2,,,8.01 inches,AMOLED,"20 MP, 27mm, 1/3.4","Camera chính: 108 MP, f/1.8, dual pixel PDAF
Camera tele/cận cảnh: 8 MP, PDAF, 3x optical zoom
Camera góc siêu rộng: 13 MP, f/2.4",Qualcomm Snapdragon 888,không có thông tin,12 GB,256 GB,Li-Po 5020 mAh,2 SIM (Nano-SIM),không có thông tin,"Tần số quét 90Hz, 1 tỉ colors, HDR10+, Dolby Vision, 900 nits, 387 ppi",không có thông tin,Điện thoại
Xiaomi Poco F4 GT,,,6.66 inches,OLED,20 MP,"64 MP, f/1.9, 26mm (Rộng), 1/1.73"", 0.8µm, PDAF
8 MP, f/2.2, 120˚ (Siêu rộng)
2 MP, f/2.4, (macro)",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),không có thông tin,8 GB,128 GB,Li-Po 4700 mAh không thể tháo rời,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"1B màu
120Hz
HDR10 +",không có thông tin,Điện thoại
